	Nombre	Silhouette
0	SN89	0.6206896551724138
1	Patchback	-0.06250000000000004
2	Oscar	-0.028571428571428647
3	DN63	-0.15384615384615388
4	PL	-0.10204081632653059
5	Gallatin	-0.43103448275862066
6	Fish	0.07482993197278918
7	SN63	0.38352272727272724
8	Topless	-0.008928571428571492
9	Zipfel	-0.17968750000000006
10	Vau	0.13086419753086426
11	TR88	0.35546875
12	TR77	0.10801393728223002
13	Beak	0.21710526315789477
14	TSN83	-0.2013888888888889
15	Double	0.13281249999999994
16	TR99	-0.31250000000000006
17	DN16	-0.3714285714285714
18	DN21	-0.6428571428571429
19	SN100	-0.35294117647058826
20	MN60	0.013333333333333286
21	TR82	-0.5172413793103449
22	Bumper	0.03750000000000002
23	Stripes	-0.42857142857142855
24	Mus	0.015151515151515138
25	Wave	-0.506578947368421
26	CCL	-0.28500000000000003
27	SN90	-0.6190476190476191
28	Scabs	-0.39338235294117646
29	Zap	-0.16666666666666666
30	Knit	-0.43396226415094336
31	Trigger	-0.2066666666666667
32	Kringel	-0.2561475409836066
33	Upbang	0.5925925925925926
34	Jonah	-0.011824324324324372
35	Haecksel	0.014423076923076957
36	Fork	-0.28125
37	Notch	-0.35344827586206895
38	Feather	-0.2903225806451613
39	MN105	-0.037162162162162206
40	Ripplefluke	-0.26666666666666666
41	Shmuddel	0.37228260869565216
42	Beescratch	-0.31249999999999994
43	Quasi	-0.05714285714285709
44	TSN103	0.2805232558139535
45	Zig	-0.18947368421052635
46	Jet	-0.12000000000000008
47	SMN5	0.08052884615384619
48	SN9	0.03125
49	Five	0.16444444444444445
50	Web	-0.5925925925925926
51	Hook	0.2708333333333333
52	Number1	0.036363636363636334
53	Thumper	-0.14802631578947373
54	SN96	0.1688311688311689
55	Whitetip	0.3211206896551725
56	SN4	0.29054054054054057
57	TR120	0.30495689655172414
58	Cross	0.16444444444444445
59	Grin	0.3826219512195122
60	MN23	-0.22222222222222224
61	MN83	-0.1105769230769231
