	Nombre	Silhouette
0	SN89	0.20374707259953162
1	Patchback	-0.25
2	Oscar	0.3157894736842105
3	DN63	-0.07692307692307701
4	PL	0.38095238095238093
5	Gallatin	0.217391304347826
6	Fish	-0.38235294117647056
7	SN63	0.08000000000000007
8	Topless	0.08333333333333337
9	Zipfel	-0.10810810810810816
10	Vau	0.033333333333333395
11	TR88	0.10000000000000002
12	TR77	0.0714285714285714
13	Beak	0.38235294117647056
14	TSN83	-0.047619047619047596
15	Double	-0.01360544217687088
16	TR99	-0.30985915492957744
17	DN16	0.26436781609195414
18	DN21	-0.37466307277628036
19	SN100	0.0052910052910052725
20	MN60	0.3055555555555555
21	TR82	-0.13580246913580243
22	Bumper	-0.16666666666666666
23	Stripes	-0.4246575342465754
24	Mus	0.13888888888888878
25	Wave	-0.28104575163398693
26	CCL	-0.19452054794520554
27	SN90	-0.2857142857142857
28	Scabs	-0.3053846153846154
29	Zap	-0.1944444444444445
30	Knit	-0.3621262458471761
31	Trigger	-0.4067796610169492
32	Kringel	-0.21250000000000002
33	Upbang	-0.24963924963924958
34	Jonah	0.0
35	Haecksel	-0.31034482758620685
36	Fork	-0.21250000000000002
37	Notch	-0.1763191763191764
38	Feather	0.24
39	MN105	0.2
40	Ripplefluke	0.22222222222222215
41	Shmuddel	0.20000000000000004
42	Beescratch	0.02083333333333326
43	Quasi	0.15384615384615388
44	TSN103	-0.16666666666666663
45	Zig	0.19819819819819817
46	Jet	0.1754385964912281
47	SMN5	0.5
48	SN9	-0.1111111111111111
49	Five	0.26190476190476186
50	Web	0.2575757575757575
51	Hook	0.11764705882352945
52	Number1	0.08771929824561404
53	Thumper	0.16666666666666666
54	SN96	-0.06666666666666664
55	Whitetip	0.08571428571428566
56	SN4	0.1111111111111111
57	TR120	-0.03225806451612906
58	Cross	0.26190476190476186
59	Grin	-0.02439024390243894
60	MN23	-0.05555555555555549
61	MN83	-0.04000000000000007
