	Nombre	Silhouette
0	SN89	0.021739130434782532
1	Patchback	0.12195121951219508
2	Oscar	-0.15
3	DN63	0.15
4	PL	0.3333333333333333
5	Gallatin	0.09803921568627463
6	Fish	-0.02645502645502653
7	SN63	0.38596491228070173
8	Topless	0.1951219512195122
9	Zipfel	-0.15315315315315317
10	Vau	0.2627118644067797
11	TR88	0.31972789115646255
12	TR77	0.16847826086956516
13	Beak	0.06432748538011691
14	TSN83	-0.30666666666666675
15	Double	0.05747126436781608
16	TR99	-0.380952380952381
17	DN16	0.03508771929824563
18	DN21	-0.3962264150943397
19	SN100	-0.06976744186046506
20	MN60	0.2788461538461538
21	TR82	-0.09629629629629631
22	Bumper	0.14666666666666672
23	Stripes	-0.43749999999999994
24	Mus	0.07017543859649113
25	Wave	0.09090909090909083
26	CCL	-0.3181818181818182
27	SN90	-0.36619718309859156
28	Scabs	-0.40350877192982454
29	Zap	-0.1594202898550725
30	Knit	-0.372093023255814
31	Trigger	-0.3297872340425532
32	Kringel	-0.3207547169811321
33	Upbang	0.15217391304347824
34	Jonah	0.1428571428571429
35	Haecksel	-0.15217391304347824
36	Fork	-0.2876712328767123
37	Notch	0.1428571428571429
38	Feather	0.11111111111111116
39	MN105	0.1428571428571429
40	Ripplefluke	0.14492753623188412
41	Shmuddel	0.3508771929824562
42	Beescratch	-0.12195121951219508
43	Quasi	0.11111111111111109
44	TSN103	0.20430107526881733
45	Zig	0.1379310344827585
46	Jet	0.11111111111111108
47	SMN5	-0.052631578947368376
48	SN9	0.13450292397660826
49	Five	0.2846153846153846
50	Web	0.04444444444444447
51	Hook	0.2352941176470589
52	Number1	0.047619047619047616
53	Thumper	0.3162393162393162
54	SN96	0.15624999999999994
55	Whitetip	0.32
56	SN4	0.2098765432098766
57	TR120	0.2575757575757575
58	Cross	0.2846153846153846
59	Grin	0.31111111111111106
60	MN23	-0.07936507936507933
61	MN83	0.08536585365853648
