	Nombre	Silhouette
0	SN89	0.040000000000000036
1	Patchback	0.12195121951219508
2	Oscar	0.1145833333333333
3	DN63	0.27884615384615385
4	PL	0.062499999999999965
5	Gallatin	0.1326530612244898
6	Fish	-0.017094017094017203
7	SN63	0.29292929292929293
8	Topless	0.1951219512195122
9	Zipfel	-0.15315315315315317
10	Vau	0.2627118644067797
11	TR88	0.3055555555555556
12	TR77	0.13913043478260856
13	Beak	0.11111111111111108
14	TSN83	-0.3121693121693122
15	Double	0.04093567251461992
16	TR99	-0.40522875816993464
17	DN16	-0.14285714285714285
18	DN21	-0.41132075471698115
19	SN100	-0.12499999999999993
20	MN60	0.2788461538461538
21	TR82	-0.13533834586466165
22	Bumper	0.16666666666666677
23	Stripes	-0.30434782608695654
24	Mus	0.08571428571428569
25	Wave	0.12156862745098033
26	CCL	-0.33962264150943394
27	SN90	-0.36619718309859156
28	Scabs	-0.24444444444444446
29	Zap	-0.07936507936507942
30	Knit	-0.33720930232558144
31	Trigger	-0.3297872340425532
32	Kringel	-0.3333333333333333
33	Upbang	0.07368421052631571
34	Jonah	0.1428571428571429
35	Haecksel	-0.15217391304347824
36	Fork	-0.3259259259259259
37	Notch	0.02608695652173919
38	Feather	0.16666666666666666
39	MN105	0.1428571428571429
40	Ripplefluke	0.19172932330827058
41	Shmuddel	0.34222222222222226
42	Beescratch	-0.040322580645161345
43	Quasi	0.1865079365079366
44	TSN103	0.20430107526881733
45	Zig	0.18154761904761907
46	Jet	0.20329670329670324
47	SMN5	-0.052631578947368376
48	SN9	0.032679738562091595
49	Five	0.2846153846153846
50	Web	0.04761904761904764
51	Hook	0.2352941176470589
52	Number1	0.1
53	Thumper	0.28888888888888886
54	SN96	0.08571428571428574
55	Whitetip	0.2444444444444444
56	SN4	0.2098765432098766
57	TR120	0.2575757575757575
58	Cross	0.2846153846153846
59	Grin	0.31111111111111106
60	MN23	-0.0966386554621848
61	MN83	0.08536585365853648
